"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"114",-75.2817189380641,40.2301216412485,26,27,90530,"Commuter Rail","Lansdale/Doylestown Line","Pennbrook","SEPTA","{10C858CF-1BC2-4C45-A75E-6E17288D3685}","Montgomery","Pennsylvania"
"115",-75.1308434303368,40.3060224773215,30,31,90538,"Commuter Rail","Lansdale/Doylestown Line","Doylestown","SEPTA","{1094B7DD-4A13-41F0-9031-1DCE8EF29D43}","Bucks","Pennsylvania"
"116",-75.2662882742039,40.2595313748631,24,25,90532,"Commuter Rail","Lansdale/Doylestown Line","Fortuna","SEPTA","{0DFE203A-2C55-4EE6-80FE-0D4A44F315B4}","Montgomery","Pennsylvania"
"117",-75.231820697039,40.0067721150724,9,9,90001,"Commuter Rail","Cynwyd Line","Cynwyd","SEPTA","{3709FEE2-E65A-4435-A145-FE2F58383EC4}","Montgomery","Pennsylvania"
"118",-75.1106682219736,40.1074289093626,89,90,90316,"Commuter Rail","West Trenton Line","Rydal","SEPTA","{C65C87BE-3A56-485A-A7C0-79B59DAB2AB3}","Montgomery","Pennsylvania"
"119",-74.8909075209085,40.1908661008872,38,39,90325,"Commuter Rail","West Trenton Line","Woodbourne","SEPTA","{75369FE9-2394-4828-A5A1-36044925EF48}","Bucks","Pennsylvania"
"120",-75.1780590849501,40.0232858660891,109,110,90809,"Commuter Rail","Chestnut Hill West Line","Queen Lane","SEPTA","{12A65D97-2546-48C4-AC6B-D86C28548106}","Philadelphia","Pennsylvania"
"123",-75.083410693103,40.0763930679997,146,147,90815,"Commuter Rail","Fox Chase Line","Fox Chase","SEPTA","{E4DF87D9-249F-40CC-9AD7-1AE328475DE0}","Philadelphia","Pennsylvania"
"124",-75.2798731819394,39.9005091740313,134,135,90214,"Commuter Rail","Wilmington/Newark Line","Folcroft","SEPTA","{042C7A12-F2C0-4AF4-ADE8-687D4CF0798D}","Delaware","Pennsylvania"
"125",-75.2821229251308,39.9327630141621,69,70,90310,"Commuter Rail","Media/Elwyn Line","Gladstone","SEPTA","{07675E8B-36F6-4BB0-8C12-37781DEE194A}","Delaware","Pennsylvania"
